"(PDH-CSV 4.0) (E. South America Standard Time)(180)","\\star04\nvidia gpu(#1 tesla m2050 (id=768))\core clock (mhz)","\\star04\nvidia gpu(#0 tesla m2050 (id=512))\core clock (mhz)"
"02/17/2014 16:05:35.147","0","540"
"02/17/2014 16:05:35.147","0","540"
"02/17/2014 16:05:46.381","0","540"
"02/17/2014 16:05:57.694","0","540"
"02/17/2014 16:06:09.022","0","540"
"02/17/2014 16:06:20.210","0","540"
"02/17/2014 16:06:31.413","0","540"
"02/17/2014 16:06:42.538","0","1147"
"02/17/2014 16:06:53.538","0","1147"
"02/17/2014 16:07:04.522","0","1147"
"02/17/2014 16:07:15.538","0","1147"
"02/17/2014 16:07:26.522","0","1147"
"02/17/2014 16:07:37.507","0","1147"
"02/17/2014 16:07:48.507","0","1147"
"02/17/2014 16:07:59.491","0","1147"
"02/17/2014 16:08:10.397","0","540"
