"(PDH-CSV 4.0) (E. South America Standard Time)(180)","\\star04\nvidia gpu(#1 tesla m2050 (id=768))\temperature (ºc)","\\star04\nvidia gpu(#0 tesla m2050 (id=512))\temperature (ºc)"
"02/17/2014 16:05:32.584","0","0"
"02/17/2014 16:05:32.584","0","0"
"02/17/2014 16:05:43.756","0","0"
"02/17/2014 16:05:55.069","0","0"
"02/17/2014 16:06:06.397","0","0"
"02/17/2014 16:06:17.647","0","0"
"02/17/2014 16:06:28.835","0","0"
"02/17/2014 16:06:40.022","0","0"
"02/17/2014 16:06:51.022","0","0"
"02/17/2014 16:07:02.038","0","0"
"02/17/2014 16:07:13.053","0","0"
"02/17/2014 16:07:24.022","0","0"
"02/17/2014 16:07:35.022","0","0"
"02/17/2014 16:07:46.007","0","0"
"02/17/2014 16:07:57.022","0","0"
"02/17/2014 16:08:07.944","0","0"
